freq_invcm,wavlen_um,path_thermal_cm,path_thermal_mum,surface_emission_cm,surface_emission_umu,surface_reflected_cm,surface_reflected_mum,total_radiance_cm,total_radiance_mum,integral_cm,total_trans
2.0,4999.998,3.33e-13,1.33e-16,1.3e-09,5.2e-13,0.0,0.0,1.3e-09,5.2e-13,1.3e-09,0.99968
4.0,2500.0,1.86e-13,2.97e-16,4.17e-09,6.67e-12,0.0,0.0,4.17e-09,6.67e-12,9.64e-09,0.99988
6.0,1666.666,3.41e-14,1.23e-16,8.94e-09,3.22e-11,0.0,0.0,8.94e-09,3.22e-11,2.75e-08,0.99999
8.0,1250.0,1.31e-14,8.38e-17,1.56e-08,9.96e-11,0.0,0.0,1.56e-08,9.96e-11,5.86e-08,1.0
10.0,1000.0,5.79e-14,5.79e-16,2.4e-08,2.4e-10,0.0,0.0,2.4e-08,2.4e-10,1.07e-07,1.0
12.0,833.333,7.94e-13,1.14e-14,3.43e-08,4.94e-10,0.0,0.0,3.43e-08,4.94e-10,1.75e-07,0.99998
14.0,714.286,2.39e-12,4.69e-14,4.64e-08,9.09e-10,0.0,0.0,4.64e-08,9.09e-10,2.68e-07,0.99995
16.0,625.0,1.82e-12,4.66e-14,6.02e-08,1.54e-09,0.0,0.0,6.02e-08,1.54e-09,3.88e-07,0.99997
18.0,555.555,4.3e-13,1.39e-14,7.57e-08,2.45e-09,0.0,0.0,7.57e-08,2.45e-09,5.4e-07,0.99999
20.0,500.0,4.85e-14,1.94e-15,9.29e-08,3.72e-09,0.0,0.0,9.29e-08,3.72e-09,7.26e-07,1.0
22.0,454.545,5.82e-13,2.82e-14,1.12e-07,5.41e-09,0.0,0.0,1.12e-07,5.41e-09,9.49e-07,1.0
24.0,416.667,5.3e-12,3.05e-13,1.32e-07,7.63e-09,0.0,0.0,1.32e-07,7.63e-09,1.21e-06,0.99996
26.0,384.615,1.28e-11,8.62e-13,1.55e-07,1.04e-08,0.0,0.0,1.55e-07,1.04e-08,1.52e-06,0.99992
28.0,357.143,7.89e-12,6.18e-13,1.78e-07,1.4e-08,0.0,0.0,1.78e-07,1.4e-08,1.88e-06,0.99995
30.0,333.333,1.53e-12,1.38e-13,2.04e-07,1.83e-08,0.0,0.0,2.04e-07,1.83e-08,2.29e-06,0.99999
32.0,312.5,1.39e-13,1.43e-14,2.31e-07,2.36e-08,0.0,0.0,2.31e-07,2.36e-08,2.75e-06,1.0
34.0,294.118,3.18e-12,3.67e-13,2.59e-07,2.99e-08,0.0,0.0,2.59e-07,2.99e-08,3.27e-06,0.99999
36.0,277.778,2.07e-11,2.68e-12,2.89e-07,3.74e-08,0.0,0.0,2.89e-07,3.74e-08,3.84e-06,0.99993
38.0,263.158,2.44e-11,3.53e-12,3.2e-07,4.62e-08,0.0,0.0,3.2e-07,4.62e-08,4.48e-06,0.99992
40.0,250.0,6.97e-12,1.12e-12,3.53e-07,5.65e-08,0.0,0.0,3.53e-07,5.65e-08,5.19e-06,0.99998
42.0,238.095,4.06e-13,7.16e-14,3.87e-07,6.83e-08,0.0,0.0,3.87e-07,6.83e-08,5.97e-06,1.0
44.0,227.273,3.98e-13,7.71e-14,4.23e-07,8.19e-08,0.0,0.0,4.23e-07,8.19e-08,6.81e-06,1.0
46.0,217.391,7.1e-12,1.5e-12,4.6e-07,9.73e-08,0.0,0.0,4.6e-07,9.73e-08,7.73e-06,0.99999
48.0,208.333,3.9e-11,8.98e-12,4.98e-07,1.15e-07,0.0,0.0,4.98e-07,1.15e-07,8.73e-06,0.99993
50.0,200.0,4.25e-11,1.06e-11,5.38e-07,1.34e-07,0.0,0.0,5.38e-07,1.34e-07,9.8e-06,0.99992
52.0,192.308,1.08e-11,2.92e-12,5.79e-07,1.57e-07,0.0,0.0,5.79e-07,1.57e-07,1.1e-05,0.99998
54.0,185.185,4.38e-13,1.28e-13,6.21e-07,1.81e-07,0.0,0.0,6.21e-07,1.81e-07,1.22e-05,1.0
56.0,178.571,4.69e-12,1.47e-12,6.65e-07,2.08e-07,0.0,0.0,6.65e-07,2.08e-07,1.35e-05,0.99999
58.0,172.414,3.51e-11,1.18e-11,7.09e-07,2.39e-07,0.0,0.0,7.09e-07,2.39e-07,1.5e-05,0.99995
60.0,166.667,7.74e-11,2.79e-11,7.55e-07,2.72e-07,0.0,0.0,7.55e-07,2.72e-07,1.65e-05,0.9999
62.0,161.29,4.39e-11,1.69e-11,8.02e-07,3.08e-07,0.0,0.0,8.03e-07,3.08e-07,1.81e-05,0.99994
64.0,156.25,7.75e-12,3.17e-12,8.51e-07,3.48e-07,0.0,0.0,8.51e-07,3.49e-07,1.98e-05,0.99999
66.0,151.515,4.99e-13,2.17e-13,9e-07,3.92e-07,0.0,0.0,9e-07,3.92e-07,2.16e-05,1.0
68.0,147.059,6.38e-12,2.95e-12,9.51e-07,4.4e-07,0.0,0.0,9.51e-07,4.4e-07,2.35e-05,0.99999
70.0,142.857,4.48e-11,2.19e-11,1e-06,4.91e-07,0.0,0.0,1e-06,4.91e-07,2.55e-05,0.99996
72.0,138.889,9.39e-11,4.87e-11,1.06e-06,5.47e-07,0.0,0.0,1.06e-06,5.47e-07,2.76e-05,0.99991
74.0,135.135,5.05e-11,2.76e-11,1.11e-06,6.07e-07,0.0,0.0,1.11e-06,6.07e-07,2.98e-05,0.99995
76.0,131.579,8.32e-12,4.81e-12,1.16e-06,6.72e-07,0.0,0.0,1.16e-06,6.72e-07,3.21e-05,0.99999
78.0,128.205,5.89e-13,3.58e-13,1.22e-06,7.42e-07,0.0,0.0,1.22e-06,7.42e-07,3.46e-05,1.0
80.0,125.0,1.24e-11,7.95e-12,1.28e-06,8.17e-07,0.0,0.0,1.28e-06,8.17e-07,3.71e-05,0.99999
82.0,121.951,6.75e-11,4.54e-11,1.33e-06,8.97e-07,0.0,0.0,1.33e-06,8.97e-07,3.98e-05,0.99995
84.0,119.048,7.35e-11,5.19e-11,1.39e-06,9.83e-07,0.0,0.0,1.39e-06,9.83e-07,4.26e-05,0.99995
86.0,116.279,1.82e-11,1.35e-11,1.45e-06,1.07e-06,0.0,0.0,1.45e-06,1.07e-06,4.55e-05,0.99999
88.0,113.636,8.66e-13,6.7e-13,1.51e-06,1.17e-06,0.0,0.0,1.51e-06,1.17e-06,4.85e-05,1.0
90.0,111.111,7.96e-13,6.45e-13,1.57e-06,1.28e-06,0.0,0.0,1.57e-06,1.28e-06,5.17e-05,1.0
92.0,108.696,1.3e-11,1.1e-11,1.64e-06,1.39e-06,0.0,0.0,1.64e-06,1.39e-06,5.49e-05,0.99999
94.0,106.383,6.5e-11,5.75e-11,1.7e-06,1.5e-06,0.0,0.0,1.7e-06,1.5e-06,5.83e-05,0.99996
96.0,104.167,6.74e-11,6.21e-11,1.76e-06,1.63e-06,0.0,0.0,1.76e-06,1.63e-06,6.19e-05,0.99996
98.0,102.041,1.54e-11,1.48e-11,1.83e-06,1.76e-06,0.0,0.0,1.83e-06,1.76e-06,6.55e-05,0.99999
100.0,100.0,5.1e-13,5.1e-13,1.89e-06,1.89e-06,0.0,0.0,1.89e-06,1.89e-06,6.93e-05,1.0
102.0,98.039,5.19e-12,5.4e-12,1.96e-06,2.04e-06,0.0,0.0,1.96e-06,2.04e-06,7.32e-05,1.0
104.0,96.154,3.62e-11,3.92e-11,2.03e-06,2.19e-06,0.0,0.0,2.03e-06,2.19e-06,7.73e-05,0.99998
106.0,94.34,7.68e-11,8.63e-11,2.1e-06,2.35e-06,0.0,0.0,2.1e-06,2.35e-06,8.15e-05,0.99996
108.0,92.593,4.16e-11,4.85e-11,2.16e-06,2.52e-06,0.0,0.0,2.16e-06,2.52e-06,8.58e-05,0.99998
110.0,90.909,6.92e-12,8.38e-12,2.23e-06,2.7e-06,0.0,0.0,2.23e-06,2.7e-06,9.03e-05,1.0
112.0,89.286,4.19e-13,5.26e-13,2.3e-06,2.89e-06,0.0,0.0,2.3e-06,2.89e-06,9.49e-05,1.0
114.0,87.719,4.31e-12,5.6e-12,2.37e-06,3.08e-06,0.0,0.0,2.37e-06,3.08e-06,9.96e-05,1.0
116.0,86.207,2.93e-11,3.95e-11,2.44e-06,3.29e-06,0.0,0.0,2.44e-06,3.29e-06,0.000105,0.99999
118.0,84.746,5.98e-11,8.33e-11,2.52e-06,3.5e-06,0.0,0.0,2.52e-06,3.5e-06,0.00011,0.99998
120.0,83.333,3.12e-11,4.49e-11,2.59e-06,3.73e-06,0.0,0.0,2.59e-06,3.73e-06,0.000115,0.99999
122.0,81.967,4.98e-12,7.41e-12,2.66e-06,3.96e-06,0.0,0.0,2.66e-06,3.96e-06,0.00012,1.0
124.0,80.645,2.21e-13,3.4e-13,2.74e-06,4.21e-06,0.0,0.0,2.74e-06,4.21e-06,0.000126,1.0
126.0,79.365,5.66e-12,8.98e-12,2.81e-06,4.46e-06,0.0,0.0,2.81e-06,4.46e-06,0.000131,1.0
128.0,78.125,2.97e-11,4.87e-11,2.88e-06,4.73e-06,0.0,0.0,2.88e-06,4.73e-06,0.000137,0.99999
130.0,76.923,3.16e-11,5.34e-11,2.96e-06,5e-06,0.0,0.0,2.96e-06,5e-06,0.000143,0.99999
132.0,75.758,7.52e-12,1.31e-11,3.03e-06,5.29e-06,0.0,0.0,3.03e-06,5.29e-06,0.000149,1.0
134.0,74.627,3.54e-13,6.35e-13,3.11e-06,5.59e-06,0.0,0.0,3.11e-06,5.59e-06,0.000155,1.0
136.0,73.529,2.6e-13,4.81e-13,3.19e-06,5.9e-06,0.0,0.0,3.19e-06,5.9e-06,0.000161,1.0
138.0,72.464,4.13e-12,7.86e-12,3.26e-06,6.22e-06,0.0,0.0,3.26e-06,6.22e-06,0.000168,1.0
140.0,71.429,2.21e-11,4.33e-11,3.34e-06,6.55e-06,0.0,0.0,3.34e-06,6.55e-06,0.000175,0.99999
142.0,70.423,2.24e-11,4.52e-11,3.42e-06,6.9e-06,0.0,0.0,3.42e-06,6.9e-06,0.000182,0.99999
144.0,69.444,2.41e-12,4.99e-12,3.5e-06,7.25e-06,0.0,0.0,3.5e-06,7.25e-06,0.000189,1.0
146.0,68.493,2.36e-14,5.04e-14,3.58e-06,7.62e-06,0.0,0.0,3.58e-06,7.62e-06,0.000196,1.0
148.0,67.568,1.19e-12,2.6e-12,3.66e-06,8.01e-06,0.0,0.0,3.66e-06,8.01e-06,0.000203,1.0
150.0,66.667,8.15e-12,1.83e-11,3.73e-06,8.4e-06,0.0,0.0,3.73e-06,8.4e-06,0.00021,1.0
152.0,65.789,1.7e-11,3.92e-11,3.81e-06,8.81e-06,0.0,0.0,3.81e-06,8.81e-06,0.000218,1.0
154.0,64.935,9.03e-12,2.14e-11,3.89e-06,9.24e-06,0.0,0.0,3.89e-06,9.24e-06,0.000226,1.0
156.0,64.103,1.34e-12,3.27e-12,3.98e-06,9.67e-06,0.0,0.0,3.98e-06,9.67e-06,0.000234,1.0
158.0,63.291,0.0,0.0,4.06e-06,1.01e-05,0.0,0.0,4.06e-06,1.01e-05,0.000242,1.0
160.0,62.5,1.21e-12,3.11e-12,4.14e-06,1.06e-05,0.0,0.0,4.14e-06,1.06e-05,0.00025,1.0
162.0,61.728,6.65e-12,1.75e-11,4.22e-06,1.11e-05,0.0,0.0,4.22e-06,1.11e-05,0.000259,1.0
164.0,60.976,7.02e-12,1.89e-11,4.3e-06,1.16e-05,0.0,0.0,4.3e-06,1.16e-05,0.000267,1.0
166.0,60.241,1.58e-12,4.36e-12,4.38e-06,1.21e-05,0.0,0.0,4.38e-06,1.21e-05,0.000276,1.0
168.0,59.524,2.96e-14,8.36e-14,4.46e-06,1.26e-05,0.0,0.0,4.46e-06,1.26e-05,0.000285,1.0
170.0,58.824,0.0,0.0,4.54e-06,1.31e-05,0.0,0.0,4.54e-06,1.31e-05,0.000294,1.0
